PLOIDY ESTIMATION,,Autosomal median coverage,46.75
PLOIDY ESTIMATION,,X median coverage,23.34
PLOIDY ESTIMATION,,Y median coverage,23.61
PLOIDY ESTIMATION,,X median / Autosomal median,0.50
PLOIDY ESTIMATION,,Y median / Autosomal median,0.51
PLOIDY ESTIMATION,,Ploidy estimation,XY
