4	95	0.00
4	94	0.00
4	93	0.00
4	92	0.01
4	91	0.01
4	90	0.01
4	89	0.01
4	88	0.01
4	87	0.02
4	86	0.02
4	85	0.02
4	84	0.03
4	83	0.03
4	82	0.04
4	81	0.05
4	80	0.06
4	79	0.07
4	78	0.08
4	77	0.09
4	76	0.11
4	75	0.13
4	74	0.15
4	73	0.17
4	72	0.20
4	71	0.23
4	70	0.26
4	69	0.29
4	68	0.33
4	67	0.36
4	66	0.40
4	65	0.44
4	64	0.48
4	63	0.52
4	62	0.56
4	61	0.60
4	60	0.64
4	59	0.67
4	58	0.71
4	57	0.74
4	56	0.77
4	55	0.80
4	54	0.83
4	53	0.85
4	52	0.87
4	51	0.88
4	50	0.90
4	49	0.92
4	48	0.93
4	47	0.94
4	46	0.94
4	45	0.95
4	44	0.96
4	43	0.96
4	42	0.96
4	41	0.97
4	40	0.97
4	39	0.97
4	38	0.97
4	37	0.97
4	36	0.97
4	35	0.97
4	34	0.97
4	33	0.98
4	32	0.98
4	31	0.98
4	30	0.98
4	29	0.98
4	28	0.98
4	27	0.99
4	26	0.99
4	25	0.99
4	24	0.99
4	23	0.99
4	22	0.99
4	21	0.99
4	20	0.99
4	19	0.99
4	18	0.99
4	17	0.99
4	16	0.99
4	15	0.99
4	14	0.99
4	13	0.99
4	12	0.99
4	11	0.99
4	10	0.99
4	9	1.00
4	8	1.00
4	7	1.00
4	6	1.00
4	5	1.00
4	4	1.00
4	3	1.00
4	2	1.00
4	1	1.00
4	0	1.00
5	111	0.00
5	110	0.00
5	109	0.00
5	108	0.00
5	107	0.00
5	106	0.00
5	105	0.00
5	104	0.00
5	103	0.00
5	102	0.00
5	101	0.00
5	100	0.00
5	99	0.00
5	98	0.00
5	97	0.00
5	96	0.00
5	95	0.00
5	94	0.00
5	93	0.00
5	92	0.00
5	91	0.00
5	90	0.00
5	89	0.01
5	88	0.01
5	87	0.01
5	86	0.02
5	85	0.02
5	84	0.03
5	83	0.04
5	82	0.04
5	81	0.05
5	80	0.07
5	79	0.08
5	78	0.10
5	77	0.12
5	76	0.14
5	75	0.16
5	74	0.18
5	73	0.21
5	72	0.24
5	71	0.27
5	70	0.31
5	69	0.34
5	68	0.38
5	67	0.42
5	66	0.47
