##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	PRJ180493_E201-B01-D
File type	Conventional base calls
1103	20-24	-0.3641628001436388
1103	25-29	-0.4428619567065226
1103	30-34	-0.5347697947396881
1103	35-39	-0.4657659097945981
1103	40-44	-0.31281374078056245
1103	45-49	-0.38660801140507317
1103	50-54	-0.361291344709592
1103	55-59	-0.3748238663063006
1103	60-64	-0.5462702841064058
1103	65-69	-0.7161349138428221
1103	70-74	-0.5791958161171777
1103	75-79	-0.5979088338145431
1103	80-84	-0.6101435528298964
1103	85-89	-0.6203457492189131
1103	90-94	-0.46221642879845604
1103	95-99	-0.6053279217353165
1103	100-104	-0.32861279138465704
1103	105-109	-0.43452632141747216
1103	110-114	-0.29389129647988455
1103	115-119	-0.29832355304017
1103	120-124	-0.2770663884140063
1103	125-129	-0.38416970868865263
1103	130-134	-0.3153114415116747
1103	135-139	-0.4293094368136252
1103	140-144	-0.12748118320360646
1103	145-149	-0.07548752532004244
1103	150-151	-0.1895655339054727
1104	1	-0.41956583590260266
1104	2	-0.14593202774007352
1104	3	-0.27235709254320284
1104	4	-0.2509183642277151
1104	5	-0.2475381113517372
1104	6	-0.030828399944461182
1104	7	-0.1475157387762991
1104	8	-0.11435727691163322
1104	9	-0.19161219785920736
1104	10-14	-0.18194579389302135
1104	15-19	-0.07774130054253447
1104	20-24	-0.19841352923184985
1104	25-29	-0.16485290815472808
1104	30-34	-0.1725735192800144
1104	35-39	-0.1755443387664002
1104	40-44	-0.15883088138683377
1104	45-49	-0.1499507585570825
1104	50-54	-0.2075208676634972
1104	55-59	-0.17130061792707352
1104	60-64	-0.06302289759256752
1104	65-69	-0.18288809064178224
1104	70-74	-0.1725800224089653
1104	75-79	-0.02808685526147059
1104	80-84	-0.13155571024471868
1104	85-89	-0.0459191684554483
1104	90-94	-0.2129270370012435
1104	95-99	-0.15340596789572913
1104	100-104	-0.22986024982493092
1104	105-109	-0.18315291224017471
1104	110-114	-0.11448958326059255
1104	115-119	-0.11616498724182378
1104	120-124	-0.18223810829740472
1104	125-129	-0.15270783986412084
1104	130-134	-0.14960785902213303
1104	135-139	-0.04805387622874946
1104	140-144	-0.03957499239622564
1104	145-149	0.03788777852231817
1104	150-151	0.0194008954645426
1105	1	0.025498885333249177
1105	2	0.02881910279499067
1105	3	-0.08130045956496446
1105	4	-0.10859993271234458
1105	5	-0.002227176270245934
1105	6	-0.20720704573037807
1105	7	-0.28088852702479983
1105	8	-0.16457883143529273
1105	9	-0.09677244551468078
1105	10-14	-0.27785689893414656
1105	15-19	-0.14920325689933378
1105	20-24	-0.11463177561262228
1105	25-29	-0.2052979899477947
1105	30-34	-0.0670031238068276
1105	35-39	-0.2304091356745701
1105	40-44	-0.003098576478556936
1105	45-49	-0.05677787355784858
1105	50-54	-0.1550866355461622
1105	55-59	-0.2344232930979473
1105	60-64	-0.11195922461391206
1105	65-69	-0.27794145193391984
1105	70-74	-0.13064057222153735
1105	75-79	-0.1975331925947259
1105	80-84	-0.11441151951544981
1105	85-89	-0.12235181777318616
1105	90-94	-0.15226312940077946
1105	95-99	-0.27411507054421946
1105	100-104	-0.21916753265985278
1105	105-109	-0.07039545963899485
1105	110-114	-0.0550943938080124
1105	115-119	-0.10298679280365519
1105	120-124	-0.046601459064532946
1105	125-129	-0.13658405201245216
1105	130-134	-0.0843722469615713
1105	135-139	0.09134558021134609
1105	140-144	0.01504242623092722
1105	145-149	0.1021476589814796
1105	150-151	0.23320568158480626
1106	1	-0.32722477989041465
1106	2	-0.2601780112021217
1106	3	-0.3478589011234021
1106	4	-0.14503571914812596
1106	5	-0.20504102908410005
1106	6	-0.10056923909257165
1106	7	-0.029084775221051018
1106	8	-0.13203914889560764
1106	9	-0.06138283512506604
1106	10-14	-0.2043576204348767
1106	15-19	-0.14827973597581234
1106	20-24	-0.17634173232257666
1106	25-29	-0.20347259312239885
1106	30-34	-0.19116484094975306
1106	35-39	-0.16543755583937525
1106	40-44	-0.24123813540638395
1106	45-49	-0.2571462301056755
1106	50-54	-0.24547940006984703
1106	55-59	-0.20460992321313398
1106	60-64	-0.172568699333695
1106	65-69	-0.1536294878867821
1106	70-74	-0.22449467571510695
1106	75-79	-0.294592944483945
1106	80-84	-0.291538178390347
1106	85-89	-0.16201271669756778
1106	90-94	-0.25770023290144195
1106	95-99	-0.18301768489030934
1106	100-104	-0.21654246471771188
1106	105-109	-0.29567321839001437
1106	110-114	-0.1761714997903212
1106	115-119	-0.016954178357643457
1106	120-124	-0.12105377923810323
1106	125-129	-0.07096807606018984
1106	130-134	-0.06798897735973952
1106	135-139	-0.08130173588558876
1106	140-144	0.029950157966844415
1106	145-149	-0.03304907644449884
1106	150-151	-0.09779734591503342
1107	1	-0.20697465964029504
1107	2	-0.29459359561770526
1107	3	-0.15100945427396084
1107	4	-0.2488115729239837
1107	5	-0.24508431912738615
1107	6	-0.1913340298573587
1107	7	-0.4393541354904116
1107	8	-0.13547830233476077
1107	9	-0.2281216518638871
1107	10-14	-0.2522219782992252
1107	15-19	-0.28428262197869714
1107	20-24	-0.18635135233218847
1107	25-29	-0.18884843102836157
1107	30-34	-0.19732733672658753
1107	35-39	-0.13457940784707034
1107	40-44	-0.21186507912853614
1107	45-49	-0.28970224017815127
1107	50-54	-0.3716902624808185
1107	55-59	-0.3922552079115178
1107	60-64	-0.22976248238107644
1107	65-69	-0.2873809161723955
1107	70-74	-0.1905387663228595
1107	75-79	-0.36261053002785815
1107	80-84	-0.36932761659266333
1107	85-89	-0.2750396881727326
1107	90-94	-0.36665539015608317
1107	95-99	-0.1814421891274023
1107	100-104	-0.08964339854003356
1107	105-109	-0.2634558568879939
1107	110-114	-0.13294452031185955
1107	115-119	-0.21986659790045593
1107	120-124	-0.34313133107766447
1107	125-129	-0.2610688738066429
1107	130-134	-0.19463979049159974
1107	135-139	-0.3200416317380572
1107	140-144	-0.13298205123670215
1107	145-149	0.015919595153988553
1107	150-151	-0.17239093403574657
1108	1	-0.023044967236025116
1108	2	-0.14817175004331773
1108	3	-0.43296174554828326
1108	4	0.004327159028306937
1108	5	-0.1662707598053501
1108	6	-0.25630578126978776
1108	7	-0.20165796474339004
1108	8	-0.20123473673526604
1108	9	-0.015221463539965896
1108	10-14	-0.15416171464573836
1108	15-19	-0.16362348826871198
1108	20-24	-0.1862823002292444
1108	25-29	-0.14114915725433264
1108	30-34	-0.06387390871744003
1108	35-39	-0.13698962988849672
1108	40-44	-0.21395505049935082
1108	45-49	-0.13489695059688245
1108	50-54	-0.12958432916185814
1108	55-59	-0.17227942270094587
1108	60-64	-0.17925476818461306
1108	65-69	-0.11683457739438552
1108	70-74	-0.1756842794776432
1108	75-79	-0.16349868413465884
1108	80-84	-0.1579400936917139
1108	85-89	-0.090998883938191
1108	90-94	-0.03905960081912241
1108	95-99	-0.021391462674763773
1108	100-104	0.08469279501505156
1108	105-109	-0.04863056873323757
1108	110-114	-0.032624815958470776
1108	115-119	-0.22659859549822414
1108	120-124	-0.011958601712080963
1108	125-129	0.09526120439340957
1108	130-134	0.09653638393189112
1108	135-139	-0.14101653374279266
1108	140-144	-0.05032993464866564
1108	145-149	0.0671335234127497
1108	150-151	-0.061018414960308576
1109	1	0.19301113631865263
