SV SUMMARY,Bob_T/Bob_N,Number of deletions (PASS),58
SV SUMMARY,Bob_T/Bob_N,Number of insertions (PASS),3
SV SUMMARY,Bob_T/Bob_N,Number of duplications (PASS),1
SV SUMMARY,Bob_T/Bob_N,Number of breakend pairs (PASS),1
